s,p,o
точіння,перевага,простий інструмент
точіння,перевага,точність
нарізання мітчиком,недолік,спеціальний інструмент
нарізання мітчиком,перевага,технологічність
точіння,перевага,продуктивність
точіння,перевага,універсальність
точіння,недолік,нетехнологічність
нарізання мітчиком,перевага,точність
нарізання мітчиком,перевага,придатність для різних матеріалів
нарізання мітчиком,перевага,економічність в серійному виробництві
нарізання мітчиком,недолік,обмежена гнучкість
нарізання мітчиком,недолік,вимагає більше часу на налаштування
точіння,недолік,високий рівень шуму
точіння,недолік,високий знос інструментів
точіння,перевага,висока якість обробки
фрезерування,перевага,висока продуктивність
фрезерування,перевага,можливість обробки складних форм
фрезерування,недолік,необхідність спеціальних інструментів
шліфування,недолік,високий знос шліфувального круга
шліфування,перевага,висока якість поверхні
шліфування,перевага,висока точність
